SpeciesAccepted,Lon,Lat,OrganismType,Country
Cypripedium fasciculatum,-123.516667,42.333333,Herbaceous perennial,
Cypripedium fasciculatum,-123.5,42.2,Herbaceous perennial,
Cypripedium fasciculatum,-123.166667,42.25,Herbaceous perennial,
Cypripedium fasciculatum,-122.45,42.333333,Herbaceous perennial,
Jacquiniella leucomelana,-96.95,19.5,Epiphyte,
Jacquiniella teretifolia,-96.95,19,Epiphyte,
Lycaste aromatica,-96.95,20,Epiphyte,
Oeceoclades maculata,-92.834083,15.566056,Herbaceous perennial,
Oeceoclades maculata,-92.306389,14.894806,Herbaceous perennial,
Oeceoclades maculata,-92.285139,14.989194,Herbaceous perennial,
Oeceoclades maculata,-92.185778,14.794667,Herbaceous perennial,
Erycina crista-galli,-92.166667,14.983333,Epiphyte,
Lepanthes acuminata,-92.165833,15.091944,Epiphyte,
Oncidium poikilostalix,-92.165833,15.091944,Epiphyte,
Telipogon helleri,-92.165833,15.091944,Epiphyte,
Erycina crista-galli,-92.105833,15.03,Epiphyte,
Guarianthe aurantiaca,-92.081111,15.064444,Epiphyte,
Cypripedium parviflorum,-88.08,42.3833,Herbaceous perennial,
Broughtonia cubensis,-84.515278,22,Epiphyte,
Dendrophylax lindenii,-84.515278,21.5,Epiphyte,
Cleistesiopsis bifaria,-82.283333,29.65,Herbaceous perennial,
Cleistes bifaria,-82.277496,29.658701,Herbaceous perennial,
Cleistes bifaria,-79.9328,39.279202,Herbaceous perennial,
Cleistesiopsis bifaria,-79.932778,39.279167,Herbaceous perennial,
Aspasia principissa,-79.85,9.166667,Epiphyte,
Cleistesiopsis divaricata,-78.3,34.083333,Herbaceous perennial,
Platanthera hookeri,-75.85,45.483333,Herbaceous perennial,
Spathoglottis plicata,-66.684444,18.349444,Herbaceous perennial,
Tolumnia variegata,-66.599444,18.451389,Epiphyte,
Lepanthes rubripetala,-66.0797,18.0941,Epiphyte,
Lepanthes caritensis,-66.072778,18.101667,Epiphyte,
Lepanthes caritensis,-66.0275,18.094167,Epiphyte,
Lepanthes rupestris,-65.825,18.319167,Herbaceous perennial,
Lepanthes rupestris,-65.819722,18.321389,Herbaceous perennial,
Lepanthes rupestris,-65.816667,18.316667,Herbaceous perennial,
Lepanthes rupestris,-65.816667,18.35,Herbaceous perennial,
Lepanthes rubripetala,-65.8023,18.2956,Epiphyte,
Lepanthes rubripetala,-65.8,18.294722,Epiphyte,
Lepanthes rubripetala,-65.8,18.295,Epiphyte,
Lepanthes eltoroensis,-65.783333,18.3,Epiphyte,
Lepanthes rubripetala,-65.783333,18.4,Epiphyte,
Brassavola cucullata,-63.226111,17.621111,Epiphyte,
Brassavola cucullata,-62.57,17.472222,Epiphyte,
Brassavola cucullata,-62.959,17.31,Epiphyte,
Ophrys sphegodes,-0.050833,50.844444,Herbaceous perennial,
Corallorhiza trifida,0.083333,42.633333,Herbaceous perennial,
Cypripedium calceolus,0.120278,42.659444,Herbaceous perennial,
Cypripedium calceolus,0.357778,42.769722,Herbaceous perennial,
Herminium monorchis,0.583333,51.883333,Herbaceous perennial,
Orchis purpurea,5.75,50.75,Herbaceous perennial,
Dactylorhiza lapponica,9.0833,63.05,Herbaceous perennial,
Dactylorhiza lapponica,9.083333,63.05,Herbaceous perennial,
Himantoglossum hircinum,11.593056,50.946111,Herbaceous perennial,
Dactylorhiza lapponica,11.8333,62.6667,Herbaceous perennial,
Dactylorhiza lapponica,11.833333,62.666667,Herbaceous perennial,
Serapias cordigera,16.098611,39.265556,Herbaceous perennial,
Serapias cordigera,16.115833,39.221944,Herbaceous perennial,
Serapias cordigera,16.230833,39.363333,Herbaceous perennial,
Serapias cordigera,16.232778,39.343056,Herbaceous perennial,
Serapias cordigera,16.233611,39.346944,Herbaceous perennial,
Serapias cordigera,16.366111,39.856667,Herbaceous perennial,
Cephalanthera longifolia,21.917222,58.472222,Herbaceous perennial,
Cypripedium calceolus,22.65,53.266667,Herbaceous perennial,
Neotinea ustulata,23.1811,58.5561,Herbaceous perennial,
Neotinea ustulata,23.181111,58.556111,Herbaceous perennial,
Neotinea ustulata,23.207222,58.628333,Herbaceous perennial,
Cypripedium calceolus,23.25,58.625,Herbaceous perennial,
Cypripedium calceolus,23.266389,58.579444,Herbaceous perennial,
Cypripedium calceolus,23.27,58.625,Herbaceous perennial,
Neotinea ustulata,23.320278,58.646389,Herbaceous perennial,
Cephalanthera longifolia,23.552222,58.559722,Herbaceous perennial,
Neotinea ustulata,23.568056,58.614722,Herbaceous perennial,
Cephalanthera longifolia,24.7383,58.9094,Herbaceous perennial,
Cephalanthera longifolia,25.639444,59.491111,Herbaceous perennial,
Neotinea ustulata,25.722778,59.255278,Herbaceous perennial,
Cypripedium calceolus,26.341667,59.483333,Herbaceous perennial,
Epipactis atrorubens,29.21667,66.37417,Herbaceous perennial,
Epipactis atrorubens,29.267778,66.389444,Herbaceous perennial,
Epipactis atrorubens,29.313889,66.367222,Herbaceous perennial,
Epipactis atrorubens,29.316667,66.366667,Herbaceous perennial,
Epipactis atrorubens,29.3175,66.366389,Herbaceous perennial,
Epipactis atrorubens,29.319444,66.374722,Herbaceous perennial,
Epipactis atrorubens,29.322778,66.366944,Herbaceous perennial,
Epipactis atrorubens,29.327222,66.3675,Herbaceous perennial,
Epipactis atrorubens,29.336944,66.373889,Herbaceous perennial,
Cypripedium lentiginosum,104.633333,23.116667,Herbaceous perennial,
Caladenia elegans,114.63,-28.35,Herbaceous perennial,Australia
Caladenia graniticola,119.01,-33.05,Herbaceous perennial,Australia
Caladenia valida,147.43,-37,Herbaceous perennial,Australia
Caladenia macroclavia,137.6,-34.5,Herbaceous perennial,Australia
Caladenia argocalla,138.57,-34.32,Herbaceous perennial,Australia
Caladenia amonea,145.39,-378.105,Herbaceous perennial,Australia
Caladenia clavigera,142.96,-37.76,Herbaceous perennial,Australia
Caladenia oenochila,143.43,-37.17,Herbaceous perennial,Australia
Caladenia rosella,146.1772,-37.6716,Herbaceous perennial,Australia