Genus,Species,Subspecies,Leaf_Width_Low,Leaf_Width_High,Leaf_Width_One_Value,Flower_Stem_Low,Flowe_Stem_High,Flower_Stem_One_Value,Dorsal_Sepal_Low,Dorsal_Sepal_High,Dorsal_Sepal_Width_One_Value,Lip_Width_Low,Lip_Width_High,Lip_Width_One_Value,Lip_Lenght_Low,Lip_Lenght_High,Lip_Length_One_Value,Reference,NAT,NT,Qld,NSW,ACT,Vic,Tas,SA,WA,AUS_W,AUS_L,SA_ALL,References,,,
Arachnorchis,magniclavata,,10,15,,300,600,,2,3,,10,12,,12,14,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,magnifica,,15,20,,200,300,,3,4,,16,20,,18,22,,,,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,montana,,8,12,,100,250,,2,3,,7,9,,10,12,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,nivalis,,4,15,,120,200,,3,4,,10,12,,18,25,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,oenochila,,8,12,,200,400,,2,3,,9,11,,12,15,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,orientalis,,10,15,,100,200,,2.5,3.5,,8,12,,18,22,,,EN,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,pallida,,7,8,,150,400,,3,3.5,,5,6,,9,11,,,CR,,,,,,EN,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,paludosa,,5,15,,300,500,,3,5,,8,16,,17,25,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,patersonii,,10,15,,250,350,,2.5,3.5,,7,11,,12,20,,,,,,,,,VU,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,pectinata,,15,20,,350,500,,2,5,,12,18,,18,25,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,phaeoclavia,,5,10,,100,250,,1.5,2,,14,18,,15,17,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,pholcoidea,pholcoidea,6,10,,300,600,,2.5,3,,8,10,,15,20,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,pilotensis,,10,15,,200,300,,3.5,4,,8,11,,15,20,,,,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,plicata,,6,12,,160,350,,1.9,2,2,9,11,,6,7.5,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,procera,,6,10,,350,700,,4,5,,15,20,,22,30,,,,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,pumila,,10,15,,100,150,,2,3,,17,8,,17,8,,,EX,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,radiata,,7,10,,300,450,,2.5,4,,12,15,,12,15,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,reticulata,,5,7,,100,300,,3,4,,6.5,7.5,,8,10.5,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,rhomboidiformis,,15,20,,200,450,,2.5,3.5,,10,11,,14,16,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,rileyi,,6,8,,80,250,,2,3,,18,20,,17,20,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,robinsonii,,8,10,,200,300,,3,4,,7,11,,12,14,,,EN,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,rosella,,5,8,,100,170,,2,3,,8,10,,10,14,,,EN,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,saggicola,,4,8,,150,350,,2,3,,7,9,,13,18,,,CR,,,,,,EN,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,saxatilis,,5,14,,200,350,,2.5,3,,8,11,,14,16,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,septuosa,,7,10,,150,250,,2,2.5,,14,16,,14,16,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,serotina,,5,20,,250,600,,3,6,,10,14,,16,30,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,speciosa,,5,12,,350,600,,2.5,4,,8,16,,20,30,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,splendens,,8,15,,300,800,,3,11,,15,22,,30,35,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,starteorum,,7,10,,200,600,,2,3,,10,12,,19,25,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,stellata,,5,10,,120,300,,1.5,2.5,,7,13,,12,18,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,stricta,,10,15,,150,400,,2,3,,14,16,,15,17,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,subtilis,,4,6,,150,220,,2,2.5,,8,9,,13,15,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,tensa,,10,15,,200,300,,2,3,,NA,NA,,NA,NA,,*No tiene medida de labelo,EN,,,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,tentaculata,,12,20,,150,500,,2.5,4,,20,25,,16,20,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,tessellata,,4,9,,80,150,,2,3,,8,9,,8,9,,,VU,,,EN,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,thinicola,,6,7,,450,500,,2,2,,12,13,,15,16,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,thysanochila,,8,10,,150,300,,3,4,,6,8,,9,13,,,EN,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,toxochila,,10,15,,80,200,,2,4,,10,12,,10,12,,,,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,uliginosa,uliginosa,6,10,,200,350,,2,2.5,,7,10,,14,22,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,verrucosa,,6,10,,100,300,,2,3,,12,15,,11,14,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,villosissima,,6,9,,100,230,,2.5,3.5,,13,16,,12,15,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,viridescens,,5,8,,250,400,,2.5,3,,10,14,,17,22,,,EN,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,williamsiae,,15,18,,150,200,,1,1.5,,3,4,,6,8,,,,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,winfieldii,,6,8,,300,600,,2,4,,10,11,,15,23,,,EN,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Arthrochilus,apectus,,4,10,,180,260,,1.2,1.3,1.3,0.9,1,1,3.4,3.5,3.5,,,,,,,,,,,,,No_status,,,,
Arthrochilus,aquilus,,7,14,,200,350,,1,1.3,,0.9,1,1,5.9,6,6,,,,,,,,,,,,,No_status,,,,
Arthrochilus,corinnae,,3,7,,150,300,,2.3,2.4,2.4,0.7,0.8,,5.4,5.5,5.5,,,,,,,,,,,,,No_status,,,,
Arthrochilus,irritabilis,,8,14,,120,350,,1.9,2,2,0.9,1,1,4.9,5,5,,,,,,,,,,,,,No_status,,,,
Arthrochilus,latipes,,8,26,,100,300,,3,4,,1.4,1.5,1.5,7.4,7.5,7.5,,,,,,,,,,,,,No_status,,,,
Arthrochilus,oreophilus,,10,18,,80,200,,2,2.5,,0.9,1,1,5.9,6,6,,,,,,,,,,,,,No_status,,,,
Arthrochilus,prolixus,,7,15,,120,320,,1,1.5,,0.5,0.6,0.6,4.9,5,5,,,,,,,,,,,,,No_status,,,,
Arthrochilus,rosulatus,,8,12,,70,150,,1.9,2,2,0.7,0.8,0.8,4.9,5,5,,,,,,,,,,,,,No_status,,,,
Arthrochilus,sabulosus,,6,15,,120,370,,1.9,2,2,0.7,0.8,0.8,5.9,6,6,,,,,,,,,,,,,No_status,,,,
Arthrochilus,stenophyllus,,3,5,,60,250,,0.9,1,1,0.5,0.6,0.6,4.4,4.5,4.5,,,,,,,,,,,,,No_status,,,,
Australorchis,carrii,,7,10,,NA,NA,,1.4,1.5,1.5,5.9,6,6,13.9,14,14,,,,,,,,,,,,,No_status,,,,
Australorchis,eungellensis,,10,13,,NA,NA,,3.9,4,4,4.9,5,5,7.9,8,8,,,,,,,,,,,,,No_status,,,,
Australorchis,monophylla,,25,30,,NA,NA,,2.9,3,3,4.9,5,5,6.9,7,7,,,,,,,,,,,,,No_status,,,,
Australorchis,scheiderae,,7.9,8,9,NA,NA,,2.9,3,3,3.9,4,4,5.9,6,6,,,,,,,,,,,,,No_status,,,,
Bryobium,eriaeoides,,20,30,,NA,NA,,1.9,2,2,3.4,3.5,3.5,3.9,4,4,,,,,,,,,,,,,No_status,,,,
Bryobium,intermedium,,30,35,,NA,NA,,2.9,3,3,4.9,5,5,5.9,6,6,,,,,,,,,,,,,No_status,,,,
Bryobium,irukandjianum,,6,10,,NA,NA,,0.6,0.7,7,0.9,1,1,1.4,1.5,1.5,,,,RA,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Bryobium,queenslandicum,,16,20,,NA,NA,,1.3,1.4,1.4,1.4,1.5,1.5,1.9,2,2,,,,,,,,,,,,,No_status,,,,
Bryobium,retusum,,6,8,,NA,NA,,1.9,2,2,0.9,1,1,1.1,1.2,1.2,,,,,,,,,,,,,No_status,,,,
Bunochilus,barringtonensis,,4,8,,200,300,,NA,NA,,2.9,3,3,6,7,,,,,,,,,,,,,,No_status,,,,
Bunochilus,chlorogrammus,,3,5,,200,450,,NA,NA,,2.5,3,,6,7,,,,,,,,,,,,,,No_status,,,,
Bunochilus,chocolatinus,,4,7,,200,900,,NA,NA,,2.5,3,,5,7.5,,,,,,,,,,,,,,No_status,,,,
Bunochilus,crassus,,4,10,,150,400,,NA,NA,,3,4,,7,8,,,,,,,,,,,,,,No_status,,,,
Bunochilus,diminutus,,3,5,,80,400,,NA,NA,,4,6,,8,11,,,,,,,,,,,,,,No_status,,,,
Bunochilus,lineatus,,3,10,,150,400,,NA,NA,,3,3.5,,6,7,,,,,,,,,,,,,,No_status,,,,
Bunochilus,littoralis,,3,10,,100,250,,NA,NA,,1.5,2.5,,4.5,6,,,,,,,,,,,,,,No_status,,,,
Bunochilus,longifolius,,3,4,,150,400,,NA,NA,,2.5,3,,4.5,5,,,,,,,,,,,,,,No_status,,,,
Bunochilus,macilentus,,3,7,,150,350,,NA,NA,,2,2.5,,5.5,7,,,,,,,,,,,,,,No_status,,,,
Bunochilus,macrosepalus,,3,10,,150,600,,NA,NA,,2.5,3,,7,8,,,,,,,,,,,,,,No_status,,,,
Bunochilus,melagrammus,,4,11,,100,800,,NA,NA,,2.4,2.5,2.5,5,6.5,,,,,,,,,,,,,,No_status,,,,
Bunochilus,parcus,,3,5,,150,450,,NA,NA,,1.5,2,,3.5,4,,,,,,,,,,,,,,No_status,,,,
Bunochilus,prasinus,,4,7,,70,500,,NA,NA,,1.5,2.3,,4.5,6.5,,,,,,,,,,,,,,No_status,,,,
Bunochilus,smaragdynus,,4,8,,150,400,,NA,NA,,3.5,4,,7,8,,,,,,,,,,,,,,No_status,,,,
Bunochilus,stenochilus,,6,8,,120,300,,NA,NA,,2.4,2.5,2.5,6,7,,,,,,,,,,,,,,No_status,,,,
Bunochilus,stenosepalus,,5,9,,100,350,,NA,NA,,2.9,3,3,7,8,,,,,,,,,,,,,,No_status,,,,
Bunochilus,tenius,,3,8,,120,300,,NA,NA,,2,3,,6,7.5,,,,,,,,,,,,,,No_status,,,,
Bunochilus,tunstallii,,3,6,,200,500,,NA,NA,,1.5,2,,4.5,5.5,,,,,,,,,,,,,,No_status,,,,
Bunochilus,vitreus,,3,5,,150,400,,NA,NA,,2.3,2.8,,5,7,,,,,,,,,,,,,,No_status,,,,
Bunochilus,williamsonii,,3,8,,100,300,,NA,NA,,2.9,3,3,4,5,,,,,,,,,,,,,,No_status,,,,
Caladenia,flava,flava,10,15,,100,250,,7,10,,10,13,,10,15,,Jones 2006,,,,,,,,,,,,No_status,,,,
Caladenia,latifolia,,15,25,,100,400,,3,4,,6,9,,5,8,,Jones 2006,,,,,,,,,,,,No_status,,,,
Caladenia,marginata,,10,15,,100,200,,2.5,3.5,,6,7.5,,6,7.5,,Jones2006,,,,,,,,,,,,No_status,,,,
Caladenia,nana,,5,10,,50,150,,3,5,,6,7,,5,6,,,,,,,,,,,,,,No_status,,,,
Caladenia,reptans,reptans,6,8,,50,150,,4,6,,7,8,,6,7,,,,,,,,,,,,,,No_status,,,,
Caladenia,unita,,8,12,,150,400,,5,7,,8,12,,8,12,,,,,,,,,,,,,,No_status,,,,
Calochilus,ammobius,,3,5,,300,500,,4,4.5,,4,4.5,,9,9.5,,,,,,,,,,,,,,No_status,,,,
Calochilus,caeruleus,,6,8,,500,800,,5,6,,7,12,,14,16,,,,VU,,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Calochilus,caesius,,3,5,,200,400,,3,4,,3.5,5.5,,12,13,,,,,,,,,,,,,,No_status,,,,
Calochilus,cleistanthus,,NA,NA,,150,400,,4.9,5,5,2.3,2.4,2.4,5.9,6,6,,,,,,,,,,,,,No_status,,,,
Calochilus,gracillimus,,6,8,,300,450,,6,8,,5,6,,30,34,,,,,,,,,,,,,,No_status,,,,
Calochilus,grandiflorus,,5,8,,300,600,,9,12,,8,10,,35,40,,,,,,,,,,,,,,No_status,,,,
Calochilus,herbaceus,,6,12,,150,400,,6,8,,6,8,,10,14,,,,,,,,,,,,,,No_status,,,,
Calochilus,holtzei,,10,20,,500,900,,5,7,,9,12,,14,17,,,,,,,,,,,,,,No_status,,,,
Calochilus,imperiosus,,15,22,,400,700,,8,8.5,,8.5,9.5,,20,22,,,,,,,,,,,,,,No_status,,,,
Calochilus,metallicus,,3,4,,200,300,,5,5.5,,4.5,5,,12,14,,,,,,,,,,,,,,No_status,,,,
Calochilus,montanus,,7,15,,400,900,,4,6,,5,6,,11,15,,,,,,,,,,,,,,No_status,,,,
Calochilus,praeltus,,4,8,,280,500,,8,9,,6.5,7,,22,24,,,,,,,,,,,,,,No_status,,,,
Calochilus,pruinosus,,12,18,,150,500,,4,5.5,,5.5,6.5,,10,14,,,,,,,,,,,,,,No_status,,,,
Calochilus,psednus,,3,5,,250,350,,3.5,4,,6.5,7,,10,11,,,,,,,,,,,,,,No_status,,,,
Calochilus,pulchellus,,4,8,,200,300,,8,9,,6,7,,28,30,,,,,,,,,,,,,,No_status,,,,
Calochilus,richiae,,10,13,,150,300,,7,10,,7,8,,12,15,,,EN,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Calochilus,robertsonii,,8,12,,150,450,,8,11,,6,8,,20,35,,,,,,,,,,,,,,No_status,,,,
Calochilus,russeus,,12,18,,400,700,,8,10,,9,11,,25,30,,,,,,,,,,,,,,No_status,,,,
Calochilus,sandrae,,8,12,,300,400,,7,8,,7,9,,18,22,,,,,,,,,,,,,,No_status,,,,
Calochilus,saprophyticus,,5,12,,200,350,,5,7,,5,7,,12,16,,,,,,,,,,,,,,No_status,,,,
Calochilus,stramenicola,,3,5,,120,420,,6,8,,6,8,,12,17,,,,,,,,,,,,,,No_status,,,,
Calochilus,therophilus,,20,28,,400,950,,7,8,,5,6,,19,22,,,,,,,,,,,,,,No_status,,,,
Calochilus,uliginosus,,5,12,,150,600,,5.5,7,,6,7,,14,18,,,,,,,,,,,,,,No_status,,,,
Cepobaculum,canaliculatum,,6,12,,NA,NA,,3,4,,7,9,,10,13,,,,,,,,,,,,,,No_status,,,,
Cepobaculum,carronii,,4.9,5,5,NA,NA,,2.9,3,3,7.9,8,8,13.9,14,14,,,,,,,,,,,,,No_status,,,,
Cepobaculum,foelschei,,4,8,,NA,NA,,2,3,,5,6,,10,14,,,,,,,,,,,,,,No_status,,,,
Cepobaculum,jobannis,,12,15,,NA,NA,,4,5,,7,10,,10,16,,,,,,,,,,,,,,No_status,,,,
Cepobaculum,tattonianum,,4,8,,NA,NA,,2,3,,5,6,,10,12,,,,,,,,,,,,,,No_status,,,,
Cepobaculum,trilamellatum,,10,15,,NA,NA,,4,7,,8,14,,15,22,,,,,,,,,,,,,,No_status,,,,
Cestichis,angustilabris,,15,20,,NA,NA,,1.4,1.5,1.5,2.9,3,3,5,6,,,,,,,,,,,,,,No_status,,,,
Cestichis,bracteata,,10,15,,NA,NA,,1.9,2,2,3,4,,7,9,,,,,,,,,,,,,,No_status,,,,
Cestichis,coelogynoides,,10,15,,NA,NA,,1.4,1.5,1.5,4,5,,8,11,,,,,,,,,,,,,,No_status,,,,
Cestichis,condylobulbon,,15,22,,NA,NA,,0.9,1,1,1.9,2,2,2.9,3,3,,,,RA,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Cestichis,fleckeri,,20,25,,NA,NA,,1.9,2,2,3,4,,8,9,,,,,,,,,,,,,,No_status,,,,
Cestichis,nugentiae,,20,30,,NA,NA,,1.5,2,,7,9,,13,16,,,,,,,,,,,,,,No_status,,,,
Cestichis,reflexa,,30,35,,NA,NA,,1.9,2,2,3,4,,7,10,,,,,,,,,,,,,,No_status,,,,
Cestichis,swenssonii,,25,30,,NA,NA,,1.9,2,2,3,3.5,,6,8,,,,,,,,,,,,,,No_status,,,,
Chiloglottis,anaticeps,,14,18,,35,70,,3,4,,5,6,,9,11,,,,,,EN,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Chiloglottis,diphylla,,10,15,,70,100,,2,2.5,,4,5,,7,10,,,,,,,,,,,,,,No_status,,,,
Chiloglottis,longiclavata,,10,20,,70,100,,2.4,2.5,2.5,4,5,,7,8,,,,,RA,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Chiloglottis,palachilla,,12,15,,120,170,,3,3.5,,5,7,,5,6,,,,,,,,,,,,,,No_status,,,,
Chiloglottis,reflexa,,15,30,,60,100,,2.5,3,,6,7,,9,11,,,,,,,,,,,,,,No_status,,,,
Chiloglottis,seminuda,,10,20,,40,70,,2.5,3,,5,6.5,,8,10,,,,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Chiloglottis,sphyrnoides,,15,23,,50,90,,3,4,,7,8.5,,10,12,,,,,VU,,,,,,,,,No_status,"Backhouse, G. (2007)",,,
Chiloglottis,sylvestris,,12,20,,30,50,,2,2.5,,5,6,,7,10,,,,,,,,,,,,,,No_status,,,,
Chiloglottis,trilabra,,10,15,,50,80,,3,4,,6,7,,9,11,,,,,,,,,,,,,,No_status,,,,
Chiloterus,cucullatus,,3,7,,NA,NA,,2.5,3,,3,3.5,,6.5,7.5,,,,,,,,,,,,,,No_status,,,,
Chiloterus,gibbosus,,3,7,,NA,NA,,1.9,2,2,2.9,3,3,6.5,7,,,,,,,,,,,,,,No_status,,,,
Conostalix,paludicola,,5.9,6,,NA,NA,,2.9,3,3,4.9,5,5,12.9,13,13,,,,,,,,,,,,,No_status,,,,
Corunastylis,acuminata,,NA,NA,,NA,NA,,2.1,2.2,2.2,1.4,1.5,1.5,2.9,3,3,,,,,,,,,,,,,No_status,,,,
Corunastylis,alticola,,NA,NA,,NA,NA,,3.9,4,4,1.4,1.5,1.5,2.9,3,3,,,,,,,,,,,,,No_status,,,,
Corunastylis,anthracina,,NA,NA,,NA,NA,,2.4,2.5,2.5,1,1.3,,2.2,2.6,,,,,,,,,,,,,,No_status,,,,
Corunastylis,apostasioides,,NA,NA,,NA,NA,,2.4,2.5,2.5,1.9,2,2,7.4,7.5,7.5,,,,,,,,,,,,,No_status,,,,
Corunastylis,archeri,,NA,NA,,NA,NA,,2.4,2.5,2.5,1.9,2,2,2.9,3,3,,,,,,,,,,,,,No_status,,,,
Corunastylis,arrecta,,NA,NA,,NA,NA,,2.4,2.5,2.5,1.7,1.8,1.8,2.9,3,3,,,,,,,,,,,,,No_status,,,,
Corunastylis,bishopii,,NA,NA,,NA,NA,,1.9,2,2,1.2,1.3,1.3,3,3.3,,,,,,,,,,,,,,No_status,,,,
Corunastylis,brachystachya,,NA,NA,,NA,NA,,1.9,2,2,1.3,1.4,1.4,2.6,2.7,2.7,,EN,,,,,,EN,,,,,No_status,"Backhouse, G. (2007)",,,
Corunastylis,citriodora,,NA,NA,,NA,NA,,1.9,2,2,1.4,1.5,1.5,3.9,4,4,,,,,,,,,,,,,No_status,,,,
Corunastylis,cranei,,NA,NA,,NA,NA,,2.2,2.3,2.3,0.7,0.8,0.8,2.9,3,3,,,,,,,,,,,,,No_status,,,,
Corunastylis,densa,,NA,NA,,NA,NA,,1.2,1.3,1.3,1,1.2,,2,2.2,,,,,,,,,,,,,,No_status,,,,
Corunastylis,ectopa,,NA,NA,,NA,NA,,2.4,2.5,2.5,1.7,1.8,1.8,3.5,4,,,CR,,,,EN,,,,,,,No_status,"Backhouse, G. (2007)",,,
Corunastylis,eriochila,,NA,NA,,NA,NA,,1.4,1.5,1.5,1.2,1.3,1.3,1.9,2,2,,,,,,,,,,,,,No_status,,,,
Corunastylis,filiformis,,NA,NA,,NA,NA,,1.9,2,2,1.7,1.8,1.8,3.5,4,,,,,,,,,,,,,,No_status,,,,
Corunastylis,fimbriata,,NA,NA,,NA,NA,,2.7,2.8,2.8,1.4,1.5,1.5,4.3,4.5,4.5,,,,,,,,,,,,,No_status,,,,
Corunastylis,firthii,,NA,NA,,NA,NA,,2.4,2.5,2.5,1.4,1.5,1.5,2.2,2.3,2.3,,CR,,,,,,EN,,,,,No_status,"Backhouse, G. (2007)",,,
Corunastylis,formosa,,NA,NA,,NA,NA,,2.5,3,,2.5,2.8,,4.5,5,,,,,,,,,,,,,,No_status,,,,
Corunastylis,insignis,,NA,NA,,NA,NA,,2.4,2.5,2.5,1.7,1.8,1.8,3.9,4,4,,,,,,,,,,,,,No_status,,,,
Corunastylis,laminata,,NA,NA,,NA,NA,,1.9,2,2,0.9,1,1,2.4,2.5,2.5,,,,,,,,,,,,,No_status,,,,
Corunastylis,littoralis,,NA,NA,,NA,NA,,2.4,2.5,2.5,0.7,0.8,0.8,2.4,2.5,2.5,,,,,,,,,,,,,No_status,,,,
Corunastylis,morina,,NA,NA,,NA,NA,,2.9,3,3,2.1,2.2,2.2,4.2,4.3,4.3,,,,,,,,,,,,,No_status,,,,
Corunastylis,nigricans,,NA,NA,,NA,NA,,1.9,2,2,1.3,1.4,1.4,2.9,3,3,,,,,,,,,,,,,No_status,,,,
Corunastylis,nuda,,NA,NA,,NA,NA,,1.5,1.6,1.6,0.9,1,1,1.4,1.5,1.5,,,,,,,,RA,,,,,No_status,"Backhouse, G. (2007)",,,
